HotelID,HotelName,HotelStarRating,HotelAddress,HotelPhone,HotelEmail,HotelWebsite,room_type,Reviews_count,bed_type,HotelAmenities,NumberOfRooms,AverageRoomRateUSD,CheckInTime,CheckOutTime,LastRenovationDate,DistanceToAirport,RatingAverage,BookingURL,distance_to_center,breakfast,cancellation_policy,prepayment_policy
67,City Walls Hotel,3,"Kichik Gala Pereulok 8, Baku, Azerbaijan",+994 12 499 88 22,info@citywallshotel.az,www.citywallshotelbaku.com,N/A,142 Reviews,N/A,"Free Wi-Fi, Restaurant, Rooftop Terrace, Non-smoking Rooms, Air Conditioning, Laundry Services, 24-hour Front Desk",9,39$,N/A,N/A,2019,27 km,7.2,https://www.booking.com/citywallshotelbaku,0.4,Included,Free cancellation,No prepayment needed
68,Point Hotel ,5,"20 Murtuza Mukhtarov Street, Baku, Azerbaijan",+994 12 491 50 50,info@pointhotelbaku.com,www.pointhotelbaku.com,N/A,132 Reviews,N/A,"Free Wi-Fi, Spa, Fitness Center, Restaurant, Non-smoking rooms, Conference Facilities",90,140$,N/A,N/A,2021,22 km,8.9,https://www.booking.com/pointhotelbaku,2.6,Not included,No free cancellation,Prepayment needed
69,Liman Hotel ,4,"12 Nariman Narimanov Avenue, Baku, Azerbaijan",+994 12 455 66 66,info@limanhotelbaku.com,www.limanhotelbaku.com,N/A,102 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",50,55$,N/A,N/A,2020,21 km,8.4,https://www.booking.com/limanhotelbaku,0.9,Included,Free cancellation,No prepayment needed
70,Dondar Hotel ,4,"5 Ziya Bunyadov Street, Baku, Azerbaijan",+994 12 451 22 33,info@dondarhotelbaku.com,www.dondarhotelbaku.com,N/A,75 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception",35,65$,N/A,N/A,2018,23 km,7.8,https://www.booking.com/dondarhotelbaku,3.2,Not included,Free cancellation,No prepayment needed
71,Royal Antique Boutique Hotel,4,"10 Istiglaliyyat Street, Baku, Azerbaijan",+994 12 478 44 44,info@royalantiquebaku.com,www.royalantiquebaku.com,N/A,167 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",30,75$,N/A,N/A,2021,20 km,8.5,https://www.booking.com/royalantiquebaku,1,Included,No free cancellation,Prepayment needed
72,Renaissance Palace ,4,"14 Neftchilar Avenue, Baku, Azerbaijan",+994 12 492 20 20,info@renaissancepalacebaku.com,www.renaissancepalacebaku.com,N/A,208 Reviews,N/A,"Free Wi-Fi, Spa, Fitness Center, Restaurant, Non-smoking rooms, Conference Facilities",80,95$,N/A,N/A,2017,18 km,8.8,https://www.booking.com/renaissancepalacebaku,2.5,Included,Free cancellation,No prepayment needed
73,Shah Palace Hotel ,4,"19 Mirza Mansur Street, Baku, Azerbaijan",+994 12 497 78 78,info@shahpalacehotelbaku.com,www.shahpalacehotelbaku.com,N/A,234 Reviews,N/A,"Free Wi-Fi, Spa, Fitness Center, Restaurant, Non-smoking rooms, Conference Facilities",100,85$,N/A,N/A,2021,17 km,9,https://www.booking.com/shahpalacehotelbaku,1.1,Included,No free cancellation,Prepayment needed
74,Nizami Street Hotel,3,"221 Nizami Street, Baku, Azerbaijan",+994 12 493 1010,info@nizamistreethotel.az,www.planetofhotels.com/en/azerbaijan/baku/nizami-street-hotel,N/A,147 Reviews,N/A,"Free Wi-Fi, 24-hour Front Desk, Room Service, Shared Kitchen, On-site Restaurant, Currency Exchange",20,55$,N/A,N/A,2017,21 km,8,https://www.planetofhotels.com/en/azerbaijan/baku/nizami-street-hotel,0.6,Included,Free cancellation,No prepayment needed
75,Premier Hotel ,4,"28 Shamsi Rahimov Street, Baku, Azerbaijan",+994 12 441 09 06,info@premierhotelbaku.com,www.premierhotelbaku.com,N/A,777 Reviews,N/A,"Free Wi-Fi, Indoor pool, Sauna, Restaurant, Non-smoking rooms, 24-hour reception",20,60$,N/A,N/A,2019,25 km,8.1,https://www.booking.com/premierhotelbaku,1.1,Included,Free cancellation,No prepayment needed
76,All Seasons Hotel ,3,"29A Tbilisi Avenue, Baku, Azerbaijan",+994 12 565 45 65,info@allseasonshotelbaku.com,www.allseasonshotelbaku.com,N/A,174 Reviews,N/A,"Free Wi-Fi, Fitness center, Restaurant, Non-smoking rooms, Airport shuttle",50,70$,N/A,N/A,2020,20 km,8.3,https://www.booking.com/allseasonshotelbaku,2.2,Not included,Free cancellation,Prepayment needed
77,Atropat Hotel ,4,"11 Boyuk Gala Street, Baku, Azerbaijan",+994 12 492 34 34,info@atropathotelbaku.com,www.atropathotelbaku.com,N/A,138 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Non-smoking rooms, Conference Facilities",30,85$,N/A,N/A,2018,21 km,8.7,https://www.booking.com/atropathotelbaku,1,Included,Free cancellation,No prepayment needed
78,East Legend Panorama Hotel ,4,"13 Niyazi Street, Baku, Azerbaijan",+994 12 441 05 05,info@eastlegendbaku.com,www.eastlegendbaku.com,N/A,127 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",40,85$,N/A,N/A,2021,22 km,8.4,https://www.booking.com/eastlegendbaku,3,Included,Free cancellation,No prepayment needed
79,Golden Time Hotel ,4,"22 Ahmad Rajabli Street, Baku, Azerbaijan",+994 12 433 22 22,info@goldentimebaku.com,www.goldentimebaku.com,N/A,156 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, Fitness Center, 24-hour reception",60,75$,N/A,N/A,2019,18 km,8.5,https://www.booking.com/goldentimebaku,2.5,Included,No free cancellation,Prepayment needed
80,Homebridge Hotel Apartments ,4,"16 Hesen Aliyev Street, Baku, Azerbaijan",+994 12 499 99 99,info@homebridgebaku.com,www.homebridgebaku.com,N/A,198 Reviews,N/A,"Free Wi-Fi, Apartments, Indoor Pool, Fitness Center, Non-smoking rooms",45,60$,N/A,N/A,2020,19 km,8.9,https://www.booking.com/homebridgebaku,1.6,Included,Free cancellation,No prepayment needed
81,Naftalan Guest House,2,"25 Neftchilar Avenue, Baku, Azerbaijan",+994 12 565 56 56,info@naftalanbaku.com,www.naftalanbaku.com,N/A,111 Reviews,N/A,"Free Wi-Fi, Restaurant, Spa, Non-smoking rooms, Conference Facilities",70,40$,N/A,N/A,2022,17 km,9,https://www.booking.com/naftalanbaku,2.4,Included,Free cancellation,No prepayment needed
82,Tourist Hotel ,3,"18 Ziya Bunyadov Street, Baku, Azerbaijan",+994 12 441 22 22,info@touristhotelbaku.com,www.touristhotelbaku.com,N/A,82 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",35,55$,N/A,N/A,2019,22 km,8.1,https://www.booking.com/touristhotelbaku,0.7,Included,Free cancellation,No prepayment needed
83,Days Hotel ,4,"18 Baba Aliyev Street, Baku, Azerbaijan",+994 12 480 12 12,info@dayshotelbaku.com,www.dayshotelbaku.com,N/A,199 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, Fitness Center, Conference Facilities",60,80$,N/A,N/A,2020,21 km,8.3,https://www.booking.com/dayshotelbaku,1.3,Not included,No free cancellation,Prepayment needed
84,Old Baku Hotel,3,"8 Gogol Street, Sabail, Baku, Azerbaijan",+994 12 494 45 45,info@molokaninnbaku.com,www.molokaninn.az,N/A,139 Reviews,N/A,"Free Wi-Fi, Restaurant, Air-conditioned rooms, Concierge Service, 24-hour reception, Airport shuttle",17,75$,N/A,N/A,2021,25 km,8.5,https://www.booking.com/oldbakuhotel,0.9,Included,Free cancellation,No prepayment needed
85,Shams Mini Hotel ,3,"15 Izzat Nabiyev Street, Baku, Azerbaijan",+994 12 567 00 77,info@shamsminibaku.com,www.shamsminibaku.com,N/A,66 Reviews,N/A,"Free Wi-Fi, Non-smoking rooms, Family rooms, 24-hour reception",25,50$,N/A,N/A,2020,20 km,7.8,https://www.booking.com/shamsminibaku,3.2,Included,No free cancellation,Prepayment needed
86,Art Gallery Hotel ,5,"20 Tarlan Aliyarbeyov Street, Baku, Azerbaijan",+994 12 567 89 65,info@artgallerybaku.com,www.artgallerybaku.com,N/A,88 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness center, Non-smoking rooms, 24-hour reception",35,130$,N/A,N/A,2019,19 km,8.4,https://www.booking.com/artgallerybaku,0.3,Included,Free cancellation,No prepayment needed
87,New City Hotel,4,"33 Aziz Aliyev Street, Baku, Azerbaijan",+994 12 492 1234,info@bakucityhotel.az,www.bakucity.az,N/A,132 Reviews,N/A,"Free Wi-Fi, Airport Shuttle (additional charge), Concierge Service, Daily Housekeeping",20,70$,N/A,N/A,2020,25 km,7,https://www.planetofhotels.com/en/azerbaijan/baku/baku-city-hotel,2.6,Included,No free cancellation,Prepayment needed
88,Azcot Hotel ,4,"17 Hazi Aslanov Street, Baku, Azerbaijan",+994 12 493 20 20,info@azcothotelbaku.com,www.azcothotelbaku.com,N/A,147 Reviews,N/A,"Free Wi-Fi, Fitness center, Restaurant, Spa, Non-smoking rooms, Conference Facilities",60,55$,N/A,N/A,2017,18 km,8.8,https://www.booking.com/azcothotelbaku,1,Included,Free cancellation,No prepayment needed
89,Comfort Inn Hotel ,3,"40 Mirali Qashqai Street, Baku, Azerbaijan",+994 12 441 09 06,info@comforthotelbaku.com,www.comforthotelbaku.com,N/A,101 Reviews,N/A,"Free Wi-Fi, Non-smoking rooms, Family rooms, 24-hour reception, Airport shuttle",28,55$,N/A,N/A,2019,23 km,8.3,https://www.booking.com/comforthotelbaku,2,Included,Free cancellation,Prepayment needed
90,Sunset Hotel ,3,"22 Azadlig Avenue, Baku, Azerbaijan",+994 12 433 22 22,info@sunsethotelbaku.com,www.sunsethotelbaku.com,N/A,97 Reviews,N/A,"Free Wi-Fi, Rooftop Terrace, Non-smoking rooms, 24-hour reception",45,50$,N/A,N/A,2020,22 km,8.7,https://www.booking.com/sunsethotelbaku,3,Included,Free cancellation,No prepayment needed
91,Yasamal Hostel ,2,"15 Yasamal Avenue, Baku, Azerbaijan",+994 12 478 47 47,info@yasamalhotelbaku.com,www.yasamalhotelbaku.com,N/A,68 Reviews,N/A,"Free Wi-Fi, Fitness center, Non-smoking rooms, 24-hour reception",55,20$,N/A,N/A,2021,21 km,8.5,https://www.booking.com/yasamalhotelbaku,1.3,Not included,No free cancellation,Prepayment needed
92,Arion Hotel ,5,"10 Niyazi Street, Baku, Azerbaijan",+994 12 495 55 55,info@arionhotelbaku.com,www.arionhotelbaku.com,N/A,78 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, Airport shuttle",35,90$,N/A,N/A,2020,20 km,8.4,https://www.booking.com/arionhotelbaku,2.5,Included,Free cancellation,No prepayment needed
93,Marriott Hotel Boulevard,5,"4C Khagani Rustamov Street, Baku, Azerbaijan",+994 12 310 00 77,info@marriottbaku.com,www.marriott.com,N/A,215 Reviews,N/A,"Free Wi-Fi, Indoor pool, Spa, Fitness center, Restaurant, Non-smoking rooms, 24-hour reception",812,145$,N/A,N/A,2021,25 km,9,https://www.booking.com/marriottboulevard,3.9,Not included,No free cancellation,Prepayment needed
94,Bristol Hotel Baku,4,"6 Mammad Amin Rasulzadeh Street, Sabayil District, Baku, Azerbaijan",+994 12 492 5802,info@bristolhotel.az,www.bristol.az,N/A,194 Reviews,N/A,"Free Wi-Fi, Airport Shuttle (additional charge), 24-hour Front Desk, Non-Smoking Rooms",30,70$,N/A,N/A,2012,25 km,7.5,https://www.Booking.com/hotel/az/bristol.en.html,0.6,Included,Free cancellation,No prepayment needed
95,Holiday Inn ,4,"16 Keykab Khanim Street, Baku, Azerbaijan",+994 12 465 20 20,info@holidayinnbaku.com,www.holidayinnbaku.com,N/A,1772 Reviews,N/A,"Free Wi-Fi, Rooftop bar, Spa, Fitness center, Non-smoking rooms, Conference Facilities",223,120$,N/A,N/A,2020,24 km,8.7,https://www.booking.com/holidayinnbaku,2.2,Included,Free cancellation,Prepayment needed
96,White City Hostel,3,"Rovshan Aliyev Street, AZ1025 Baku, Azerbaijan",+994 12 595 2000,info@whitecityhotel.az,www.booking.com/hotel/az/white-city.en.html,N/A,54 Reviews,N/A,"Free Wi-Fi, Air Conditioning, Fully Equipped Kitchen in Apartments",40,30$,N/A,N/A,2019,22.5 km,8,https://www.booking.com/hotel/az/white-city.en.html,1.3,Not included,Free cancellation,Prepayment needed
97,Qafqaz Baku City Hotel & Residences,4,"123 Heydar Aliyev Avenue, Baku, Azerbaijan",+994 12 499 99 99,info@qafqazcitybaku.com,www.qafqazcitybaku.com,N/A,145 Reviews,N/A,"Free Wi-Fi, Apartments, Spa, Fitness center, Non-smoking rooms, Airport shuttle",350,95$,N/A,N/A,2021,28 km,9,https://www.booking.com/qafqazcitybaku,3,Included,Free cancellation,No prepayment needed
98,Diplomat Hotel Baku,3,"Suleyman Rahimov Street 185, Nasimi District, Baku, Azerbaijan",+994 12 493 1919,info@diplomathotelbaku.com,www.diplomathotelbaku.com,N/A,172 Reviews,N/A,"Free Wi-Fi, On-site Restaurant, Room Service, 24-hour Front Desk",24,50$,N/A,N/A,2017,25 km,7,https://www.trip.com/hotels/baku-hotel-detail-3090215/diplomat-hotel-baku/,0.9,Included,No free cancellation,Prepayment needed
99,Swan Hotel Baku,3,"29 Rastrapovichler, Yasamal District, Baku, Azerbaijan",+994 50 705 6555,swanhotelbaku2023@gmail.com,www.swanhotelbaku.com/en/,N/A,98 Reviews,N/A,"Free Wi-Fi, On-site Restaurant, 24-hour Front Desk, Room Service, Private Parking",20,55$,N/A,N/A,2022,25 km,8,https://swanhotelbaku.com/en/,1,Included,Free cancellation,No prepayment needed
100,Qafqaz Sahil  Hotel,4,"Khagani Rustamov Street, Baku, Azerbaijan",+994 12 565 43 21,info@qafqazsahil.com,www.qafqazsahil.com,N/A,204 Reviews,N/A,"Free Wi-Fi, Spa, Fitness center, Restaurant, Non-smoking rooms, 24-hour reception",104,100$,N/A,N/A,2021,15 km,8.5,https://www.booking.com/qafqazsahil,2.5,Included,Free cancellation,No prepayment needed
101,The Crescent Beach Hotel ,4,"Salyan Hwy, Baku, Azerbaijan",+994 12 491 73 00,info@crescentbeachbaku.com,www.crescentbeachbaku.com,N/A,190 Reviews,N/A,"Free Wi-Fi, Private beach, Outdoor pool, Fitness center, Non-smoking rooms, Family rooms",260,110$,N/A,N/A,2020,20 km,8.7,https://www.booking.com/crescentbeachbaku,10,Included,Free cancellation,No prepayment needed
102,Hyatt Regency Baku,5,"1033 Huseyn Javid Avenue, Baku, Azerbaijan",+994 12 510 12 12,info@hyattplacebaku.com,www.hyatt.com,N/A,585 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness center, Non-smoking rooms, Conference Facilities",196,140$,N/A,N/A,2019,18 km,8.9,https://www.booking.com/hyattplacebaku,2,Included,Free cancellation,No prepayment needed
103,Baku Inn Hotel,4,"10C Nariman Narimanov Street, Baku, Azerbaijan",+994 12 494 55 55,info@bakuinn.com,www.bakuinn.com,N/A,380 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",34,75$,N/A,N/A,2018,19 km,8.2,https://www.booking.com/bakuinn,3.5,Not included,Free cancellation,No prepayment needed
104,Staybridge Suites ,4,"26 Afiyaddin Jalilov Street, Baku, Azerbaijan",+994 12 464 84 84,info@staybridgesuitesbaku.com,www.ihg.com/staybridge,N/A,410 Reviews,N/A,"Free Wi-Fi, Indoor pool, Fitness center, Non-smoking rooms, Family rooms",123,105$,N/A,N/A,2020,17 km,9,https://www.booking.com/staybridgebaku,1.1,Included,Free cancellation,No prepayment needed
105,Old City Inn Hotel ,3,"16 Gazi Mahammad Street, Baku, Azerbaijan",+994 12 492 44 44,info@oldcityinn.com,www.oldcityinn.com,N/A,275 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",21,75$,N/A,N/A,2021,24 km,8.4,https://www.booking.com/oldcityinnbaku,0.5,Included,Free cancellation,Prepayment needed
106,The Merchant Baku,4,"1093 Gosha Gala Gapisi, Sabayil, Baku 1000, Azerbaijan",+994 12 404 05 00,info@themerchantbaku.com,www.merchantbaku.com,N/A,2477 Reviews,N/A,"Free Wi-Fi, restaurant, bar, fitness center, meeting rooms, non-smoking rooms, 24-hour front desk, airport shuttle (additional charge)",63,110$,N/A,N/A,2021,27 km,4.6,https://www.booking.com/hotel/az/the-merchant-baku,0.7,Included,Free cancellation,No prepayment needed
107,Icheri Sheher Hotel,3,"7B Bunyad Sardarov Street, Baku, Azerbaijan",+994 12 497 45 45,info@ichersheherhotel.com,www.ichersheherhotel.com,N/A,450 Reviews,N/A,"Free Wi-Fi, Boutique-style rooms, Non-smoking rooms, 24-hour reception",20,75$,N/A,N/A,2020,21 km,8.8,https://www.booking.com/ichersheherbaku,1.2,Included,Free cancellation,No prepayment needed
108,Khaghani Centre Hotel,4,"12 Khaghani Street, Baku, Azerbaijan",+994 12 492 34 34,info@khaghanicentrehotel.com,www.khaghanicentrebaku.com,N/A,120 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception, Airport shuttle",30,80$,N/A,N/A,2020,22 km,8.4,https://www.booking.com/khaghanicentrebaku,2.4,Not included,Free cancellation,Prepayment needed
109,Museum Inn Boutique Hotel,4,"7 Niyazi Street, Baku, Azerbaijan",+994 12 497 97 97,info@museuminnbaku.com,www.museuminnbaku.com,N/A,165 Reviews,N/A,"Free Wi-Fi, Rooftop Terrace, Non-smoking rooms, Airport shuttle",15,105$,N/A,N/A,2019,19 km,8.7,https://www.booking.com/museuminnbaku,1,Included,Free cancellation,No prepayment needed
110,Noah's Ark Hotel,4,"5 Niyazi Street, Baku, Azerbaijan",+994 12 495 95 95,info@noahsarkbaku.com,www.noahsarkbaku.com,N/A,140 Reviews,N/A,"Free Wi-Fi, Restaurant, Non-smoking rooms, 24-hour reception",25,90$,N/A,N/A,2018,20 km,8.3,https://www.booking.com/noahsarkbaku,0.9,Included,Free cancellation,No prepayment needed
111,City Park Hotel ,4,"46 Nizami Street, Baku, Azerbaijan",+994 12 498 88 88,info@cityparkhotelbaku.com,www.cityparkhotelbaku.com,N/A,1077 Reviews,N/A,"Free Wi-Fi, Fitness center, Non-smoking rooms, 24-hour reception, Airport shuttle",50,95$,N/A,N/A,2020,18 km,8.6,https://www.booking.com/cityparkhotelbaku,0.8,Included,Free cancellation,No prepayment needed
112,Parkway Inn Hotel & Spa ,4,"29 Jafar Jabbarly Street, Yasamal, Baku, Azerbaijan",+994 12 594 35 33,info@parkwayinn.az,www.parkwayinn.az,N/A,188 Reviews,N/A,"Spa and wellness center, fitness center, free Wi-Fi, restaurant, 24-hour front desk, free parking, lobby bar, breakfast included",45,61$,N/A,N/A,2018,25 km,4,https://www.booking.com/hotel/az/parkway-inn-baku,2.1,Included,No free cancellation,Prepayment needed
113,Boutique Hotel ,4,"139 Elovset Quliyev Street, Baku, Azerbaijan",+994 12 251 83 11,info@boutiquehotelbaku.com,www.boutiquehotelbaku.com,N/A,174 Reviews,N/A,"Rooftop restaurant & bar, free Wi-Fi, 24-hour front desk, non-smoking rooms, breakfast included, airport shuttle (additional charge), city views",23,70$,N/A,N/A,2018,25 km,4.4,https://www.booking.com/hotel/az/boutique-baku,1.5,Included,Free cancellation,No prepayment needed
114,Smith Hotel ,4,"22 Koroglu Rahimov Street, Baku, Azerbaijan",+994 12 465 75 76,info@smithhotel.az,www.smithhotel.az,N/A,130 Reviews,N/A,"Free Wi-Fi, restaurant, elegant wood-paneled bar, buffet breakfast, free private parking, 24-hour front desk, tour desk, room service",31,60$,N/A,N/A,2019,25 km,4.2,https://www.booking.com/hotel/az/smith-baku,2.3,Included,Free cancellation,Prepayment needed
115,Riviera Hotel ,4,"1 Qurban Abbasov Street, Baku, Azerbaijan",+994 12 491 10 10,info@riviera.az,www.riviera.az,N/A,270 Reviews,N/A,"Free Wi-Fi, restaurant, private parking, buffet breakfast, 24-hour front desk, sea view rooms, airport shuttle service",30,85$,N/A,N/A,2020,25 km,4.3,https://www.booking.com/hotel/az/riviera-baku,0.6,Included,Free cancellation,No prepayment needed
116,Atropat Old City Hotel ,4,"Magomayev Street, Baku, Azerbaijan",+994 12 492 64 62,info@atropathotel.az,www.atropat.hotels-baku.com,N/A,154 Reviews,N/A,"Free Wi-Fi, restaurant, bar/lounge, buffet breakfast, concierge services, 24-hour front desk, airport shuttle (additional charge), business center, meeting rooms",30,70$,N/A,N/A,2018,26.5 km,4,https://www.booking.com/hotel/az/atropat-old-city-baku,1,Included,Free cancellation,No prepayment needed
117,Promenade Boutique Hotel ,5,"9-13 Neftchilar Avenue, Baku, Azerbaijan",+994 12 594 35 33,reservation@promenadehotel.az,www.resanthotels.az,N/A,1772 Reviews,N/A,"Free Wi-Fi, rooftop lounge with views of Baku Boulevard and the Caspian Sea, restaurant, bar, airport shuttle (additional charge), family rooms, fitness center, tea/coffee maker in all rooms, meeting rooms, non-smoking rooms, 24-hour front desk",42,120$,N/A,N/A,2020,25.7 km,4.5,https://www.booking.com/hotel/az/promenade-baku,2.4,Not included,No free cancellation,Prepayment needed
118,The Horizon Hotel ,4,"62 Mirza Mansur Street, Baku, Azerbaijan",+994 12 492 67 86,info@horizonhotel.az,www.horizonhotel.az,N/A,190 Reviews,N/A,"Free Wi-Fi, 24-hour front desk, airport pick-up service (additional charge), air conditioning, soundproof rooms, business center, bar, restaurant, free parking, concierge services, room service",9,72$,N/A,N/A,2020,26.6 km,6.5,https://www.trip.com/hotels/baku-hotel-detail-3109622/the-horizon-hotel/,1.9,Included,Free cancellation,No prepayment needed
119,Mogan Hotel Baku,5,"12 Inshaatchilar Avenue, Baku, Azerbaijan",+994 12 492 64 62,info@moganhotel.az,www.moganhotelbaku.com,N/A,180 Reviews,N/A,"Free Wi-Fi, Indoor Pool, Spa, Fitness Center, Restaurant, Air Conditioning, 24-hour Reception, Airport Shuttle, Non-smoking Rooms",145,75$,N/A,N/A,2020,30 km,8,https://www.booking.com/moganhotelbaku,2,Included,No free cancellation,Prepayment needed
120,Deluxe Hotel and Spa,3,"119 Hasan Aliyev Street, Baku, Azerbaijan",+994 12 404-00-49,info@deluxehotel.az,www.deluxehotelbaku.com,N/A,160 Reviews,N/A,"Free Wi-Fi, Spa, Hammam, Sauna, Fitness Center, Restaurant, Air Conditioning, 24-hour Reception, Airport Shuttle, Non-smoking Rooms",39,60$,N/A,N/A,2021,24.3 km,8,https://www.booking.com/deluxehotelbaku,3.2,Included,Free cancellation,No prepayment needed
121,Art Club Hotel,5,"11 Asaf Zeynalli Street, Icherisheher, Baku, Azerbaijan",+994 12 492 20 13,info@artclub.az,www.artclub.az,N/A,747 Reviews,N/A,"Free WiFi, Airport shuttle, Family rooms, Non-smoking rooms, Restaurant",11,150$,N/A,N/A,2000,25.7 km,9.2,https://www.booking.com/hotel/az/art-club.html,0.8,Not included,No free cancellation,Prepayment needed
122,Volga Hotel Baku,4,"Xalil Rza Ulutürk 2005, AZ1029, Baku, Azerbaijan",+994 51 244 66 33,zaurmammedov46@gmail.com,www.volgahotelbaku.az,N/A,80 Reviews,N/A,"Free WiFi, Indoor pool, Sauna, Spa, Fitness room, Conference facilities, Airport shuttle, Restaurant",88,81$,N/A,N/A,2021,18.1 km,9.6,https://volgahotelbaku.az,7.4,Included,No free cancellation,Prepayment needed
123,West inn Hotel & Restaurant,5,"12 Boyuk Qala Street, Old City, Baku, Azerbaijan",+994 55 881 72 34,westinnhotelbaku@gmail.com,www.westinnhotelbaku.com,N/A,130 Reviews,N/A,"Free WiFi, Continental breakfast, Shared lounge, Terrace, Restaurant",10,120$,N/A,N/A,2019,24 km,8.5,https://westinnhotelbaku.com,0.4,Included,Free cancellation,No prepayment needed
124,Premier Palace Baku,5,"7C Hasan Aliyev Street, Nasimi, Baku, Azerbaijan",+994 12 492 64 62,info@premierpalace.az,www.premierpalace.com,N/A,180 Reviews,N/A,"Free WiFi, Restaurant, Bar, Spa, Meeting rooms, Summer terrace",58,100$,N/A,N/A,2020,22 km,9,https://www.booking.com/hotel/az/premier-palace-baku.html,3,Included,No free cancellation,Prepayment needed
125,Sapphire Hotel,4,"23 Samed Vurgun Street, Baku, Azerbaijan",+994 12 497 07 77,info@sapphirehotel.az,www.sapphirehotel.az,N/A,310 Reviews,N/A,"Free WiFi, Fitness center, Restaurant, Bar, Conference facilities, Airport shuttle",42,85$,N/A,N/A,2019,24 km,8.8,https://www.booking.com/hotel/az/sapphire.html,0.6,Not included,No free cancellation,Prepayment needed
126,Wyndham Garden Baku,5,"1.1 miles from Koroglu Metro Station, Baku, Azerbaijan",+994 12 497 87 00,info@wyndhamgarden.com,www.wyndhamgarden.com,N/A,220 Reviews,N/A,"Indoor swimming pool, Free WiFi, Airport shuttle, Free parking, Spa, Family rooms, Fitness center, Bar",21,100$,N/A,N/A,2019,16.1 km,8.9,https://www.booking.com/hotel/az/wyndham-garden-baku.html,8.7,Not included,No free cancellation,Prepayment needed
127,Badam d'Art Boutique Hotel,5,"Badamdar, 2 Massiv, 1z, Baku, Azerbaijan",+994 12 251 83 11,info@badamdart.az,www.badamhotel.az,N/A,150 Reviews,N/A,"SPA, Winter garden, Seasonally open outdoor pool, Hammam, Steam room, Sauna, Hot tub, Massage services",16,100$,N/A,N/A,2019,14 km,9.3,https://www.booking.com/hotel/az/badam-dart-boutique.html,2.5,Not included,Free cancellation,No prepayment needed
128,Rose Inn Hotel,3,"95 Mammad Araz Street, Baku, Azerbaijan",+994 12 404-00-49,info@roseinn.az,"www.roseinn,com",N/A,170 Reviews,N/A,"Complimentary Wi-Fi, 24-hour fitness center, Concierge services, 24-hour room service, Restaurant, Bar",49,65$,N/A,N/A,2020,25.6 km,8,https://www.booking.com/hotel/az/rose-inn-baku.html,4,Included,No free cancellation,Prepayment needed
129,Baku Deniz Mall family hotel apartment,5,"63 Neftchilar Prospekti, Nasimi, Baku, Azerbaijan",+994 12 480 14 14,info@denizmallfa.az,www.denizmall.com,N/A,90 Reviews,N/A,"Private beach, Pool with view, Free WiFi, Airport shuttle, Ski-to-door access, 24-hour front desk",35,200$,N/A,N/A,2021,21 km,9,https://www.booking.com/hotel/az/deniz-mall-family-apartment-baku.html,1.6,Not included,No free cancellation,Prepayment needed
130,Baku KNightsBridge London Apartment,5,"153 Nobel Avenue (8 November 153), Baku, Azerbaijan",+994 12 251 83 11,info@knightsbridge.az,www.knightsbridge.com,N/A,65 Reviews,N/A,"Rooftop pool, Hot tub, Sauna, Full kitchen, Private pool, Sea view, Family rooms, Free WiFi",26,110$,N/A,N/A,2021,25 km,6.9,https://www.booking.com/hotel/az/knightsbridge-london-apartment.html,6.9,Included,No free cancellation,Prepayment needed
131,Port Marine Hotel,4,"Namiq Quliyev, Sabayil, AZ1000 Baku, Azerbaijan",+994 99 272 24 24,info@postmarine.az,www.portmarine.az,N/A,100 Reviews,N/A,"Outdoor swimming pool, Spa, Free WiFi, Free parking, Restaurant, Bar, Concierge services, Luggage storage",32,205$,N/A,N/A,2021,34 km,7.7,https://www.booking.com/hotel/az/port-marine-baku.html,7.5,Included,No free cancellation,Prepayment needed
132,Hotel Apartment V?P Park Azure Residence,5,"50 Uzeyir Hajibeyov Street, Sabayil District, Baku, Azerbaijan",+994 12 464 5000,info@azure.az,www.azure.com,N/A,110 Reviews,N/A,"Private bathroom, Terrace, Air conditioning, English, Russian, Turkish spoken",25,180$,N/A,N/A,2020,15 km,10,https://www.booking.com/hotel/az/vip-park-azure-residence.html,3.5,Not included,No free cancellation,Prepayment needed
